customer_id,plan,usage_hours,churned,last_active
C001,premium,1.0,no,2024-01-02
C002,premium,2.0,no,2024-01-03
C003,basic,3.0,no,2024-01-04
C004,premium,4.0,yes,2024-01-05
C005,premium,5.0,no,2024-01-06
C006,basic,6.0,no,2024-01-07
C007,premium,7.0,no,2024-01-08
C008,premium,8.0,yes,2024-01-09
C009,basic,9.0,no,2024-01-10
C010,premium,10.0,no,2024-01-11
C011,premium,11.0,no,2024-01-12
C013,premium,13.0,no,2024-01-14
C014,premium,14.0,no,2024-01-15
C015,basic,15.0,no,2024-01-16
C016,premium,16.0,yes,2024-01-17
C018,basic,18.0,no,2024-01-19
C019,premium,19.0,no,2024-01-20
C020,premium,20.0,yes,2024-01-21
C021,basic,21.0,no,2024-01-22
C022,premium,22.0,no,2024-01-23
C023,premium,23.0,no,2024-01-24
C026,premium,26.0,no,2024-01-27
C028,premium,28.0,yes,2024-01-01
C030,basic,30.0,no,2024-01-03
C031,premium,31.0,no,2024-01-04
C032,premium,32.0,yes,2024-01-05
C033,basic,33.0,no,2024-01-06
C035,premium,35.0,no,2024-01-08
C038,premium,38.0,no,2024-01-11
C039,basic,39.0,no,2024-01-12
C040,premium,40.0,yes,2024-01-13
C042,basic,42.0,no,2024-01-15
C043,premium,43.0,no,2024-01-16
C044,premium,44.0,yes,2024-01-17
C045,basic,45.0,no,2024-01-18
C046,premium,46.0,no,2024-01-19
C047,premium,47.0,no,2024-01-20
C048,basic,48.0,yes,2024-01-21
C050,premium,0.0,no,2024-01-23
C051,basic,1.0,no,2024-01-24
C052,premium,2.0,yes,2024-01-25
C053,premium,3.0,no,2024-01-26
C055,premium,5.0,no,2024-01-28
C056,premium,6.0,yes,2024-01-01
C057,basic,7.0,no,2024-01-02
C058,premium,8.0,no,2024-01-03
C059,premium,9.0,no,2024-01-04
C060,basic,10.0,yes,2024-01-05
C062,premium,12.0,no,2024-01-07
C063,basic,13.0,no,2024-01-08
C064,premium,14.0,yes,2024-01-09
C065,premium,15.0,no,2024-01-10
C067,premium,17.0,no,2024-01-12
C068,premium,18.0,yes,2024-01-13
C069,basic,19.0,no,2024-01-14
C070,premium,20.0,no,2024-01-15
C072,basic,22.0,yes,2024-01-17
C073,premium,23.0,no,2024-01-18
C074,premium,24.0,no,2024-01-19
C075,basic,25.0,no,2024-01-20
C076,premium,26.0,yes,2024-01-21
C077,premium,27.0,no,2024-01-22
C079,premium,29.0,no,2024-01-24
C080,premium,30.0,yes,2024-01-25
C081,basic,31.0,no,2024-01-26
C082,premium,32.0,no,2024-01-27
C083,premium,33.0,no,2024-01-28
C084,basic,34.0,yes,2024-01-01
C085,premium,35.0,no,2024-01-02
C086,premium,36.0,no,2024-01-03
C088,premium,38.0,yes,2024-01-05
C089,premium,39.0,no,2024-01-06
C090,basic,40.0,no,2024-01-07
C091,premium,41.0,no,2024-01-08
C093,basic,43.0,no,2024-01-10
C094,premium,44.0,no,2024-01-11
C097,premium,47.0,no,2024-01-14
C098,premium,48.0,no,2024-01-15
C099,basic,49.0,no,2024-01-16
C100,premium,0.0,yes,2024-01-17
C101,premium,1.0,no,2024-01-18
C102,basic,2.0,no,2024-01-19
C104,premium,4.0,yes,2024-01-21
C105,basic,5.0,no,2024-01-22
C106,premium,6.0,no,2024-01-23
C107,premium,7.0,no,2024-01-24
C109,premium,9.0,no,2024-01-26
C110,premium,10.0,no,2024-01-27
C112,premium,12.0,yes,2024-01-01
C113,premium,13.0,no,2024-01-02
C114,basic,14.0,no,2024-01-03
C115,premium,15.0,no,2024-01-04
C116,premium,16.0,yes,2024-01-05
C117,basic,17.0,no,2024-01-06
C118,premium,18.0,no,2024-01-07
C120,basic,20.0,yes,2024-01-09
C121,premium,21.0,no,2024-01-10
C122,premium,22.0,no,2024-01-11
C123,basic,23.0,no,2024-01-12
C124,premium,24.0,yes,2024-01-13
C125,premium,25.0,no,2024-01-14
C127,premium,27.0,no,2024-01-16
C129,basic,29.0,no,2024-01-18
C131,premium,31.0,no,2024-01-20
C133,premium,33.0,no,2024-01-22
C134,premium,34.0,no,2024-01-23
C135,basic,35.0,no,2024-01-24
C136,premium,36.0,yes,2024-01-25
C138,basic,38.0,no,2024-01-27
C139,premium,39.0,no,2024-01-28
C140,premium,40.0,yes,2024-01-01
C141,basic,41.0,no,2024-01-02
C142,premium,42.0,no,2024-01-03
C143,premium,43.0,no,2024-01-04
C144,basic,44.0,yes,2024-01-05
C145,premium,45.0,no,2024-01-06
C146,premium,46.0,no,2024-01-07
C147,basic,47.0,no,2024-01-08
C148,premium,48.0,yes,2024-01-09
C149,premium,49.0,no,2024-01-10
C150,basic,0.0,no,2024-01-11
C151,premium,1.0,no,2024-01-12
C152,premium,2.0,yes,2024-01-13
C154,premium,4.0,no,2024-01-15
C156,basic,6.0,yes,2024-01-17
C158,premium,8.0,no,2024-01-19
C159,basic,9.0,no,2024-01-20
C160,premium,10.0,yes,2024-01-21
C161,premium,11.0,no,2024-01-22
C162,basic,12.0,no,2024-01-23
C163,premium,13.0,no,2024-01-24
C164,premium,14.0,yes,2024-01-25
C165,basic,15.0,no,2024-01-26
C166,premium,16.0,no,2024-01-27
C167,premium,17.0,no,2024-01-28
C168,basic,18.0,yes,2024-01-01
C170,premium,20.0,no,2024-01-03
C171,basic,21.0,no,2024-01-04
C172,premium,22.0,yes,2024-01-05
C176,premium,26.0,yes,2024-01-09
C178,premium,28.0,no,2024-01-11
C179,premium,29.0,no,2024-01-12
C180,basic,30.0,yes,2024-01-13
C181,premium,31.0,no,2024-01-14
C182,premium,32.0,no,2024-01-15
C183,basic,33.0,no,2024-01-16
C185,premium,35.0,no,2024-01-18
C186,basic,36.0,no,2024-01-19
C188,premium,38.0,yes,2024-01-21
C189,basic,39.0,no,2024-01-22
C190,premium,40.0,no,2024-01-23
C191,premium,41.0,no,2024-01-24
C192,basic,42.0,yes,2024-01-25
C193,premium,43.0,no,2024-01-26
C194,premium,44.0,no,2024-01-27
C195,basic,45.0,no,2024-01-28
C197,premium,47.0,no,2024-01-02
C198,basic,48.0,no,2024-01-03
C199,premium,49.0,no,2024-01-04
C200,premium,0.0,yes,2024-01-05
